animal_type,primary_color,sex,intake_condition,intake_type,has_name,days_to_adoption,age_at_intake_days,intake_is_weekend,intake_month_sin,intake_month_cos,intake_dayofweek_sin,intake_dayofweek_cos
DOG,WHITE/PINK,FEMALE,NORMAL,STRAY,0,7,730.0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
CAT,CALICO,SPAYED,NORMAL,STRAY,1,100,40.0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
CAT,CALICO,SPAYED,NORMAL,STRAY,1,100,40.0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
CAT,TABBY,NEUTERED,NORMAL,STRAY,1,61,40.0,0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336
CAT,GRAY/BLUE/SILVER,NEUTERED,ILL/INJURED SEVERE,STRAY,1,147,61.0,0,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
CAT,BLACK,SPAYED,NORMAL,STRAY,1,21,25.0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
DOG,BROWN/TAN,NEUTERED,NORMAL,RETURN,1,56,581.0,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
DOG,WHITE/PINK,NEUTERED,NORMAL,STRAY,1,7,365.0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
DOG,BLACK,SPAYED,NORMAL,STRAY,1,15,1095.0,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
CAT,BLACK,NEUTERED,NORMAL,OWNER SURRENDER,1,5,76.0,1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
CAT,TABBY,NEUTERED,FERAL/FRACTIOUS,STRAY,1,21,85.0,1,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334
CAT,TABBY,FEMALE,NORMAL,STRAY,1,4,365.0,1,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
RABBIT,WHITE/PINK,NEUTERED,NORMAL,STRAY,1,52,,0,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336
DOG,WHITE/PINK,SPAYED,NORMAL,STRAY,1,9,729.0,0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
CAT,BLACK,NEUTERED,UNDER AGE/WEIGHT,STRAY,1,71,19.0,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
CAT,BLACK,SPAYED,UNDER AGE/WEIGHT,STRAY,1,70,19.0,0,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
DOG,BLACK,NEUTERED,NORMAL,SEIZED/CONFISCATE,1,25,1096.0,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
DOG,WHITE/PINK,NEUTERED,NORMAL,HOLDING,1,10,1857.0,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334
DOG,BROWN/TAN,NEUTERED,NORMAL,STRAY,1,18,1461.0,0,-0.4999999999999998,-0.8660254037844388,0.0,1.0
DOG,GRAY/BLUE/SILVER,NEUTERED,ILL/INJURED SEVERE,STRAY,1,73,545.0,1,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334
DOG,BROWN/TAN,NEUTERED,NORMAL,OWNER SURRENDER,1,17,1461.0,0,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419
CAT,TORTIE,SPAYED,NORMAL,STRAY,1,11,123.0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
CAT,TABBY,NEUTERED,NORMAL,STRAY,1,7,123.0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
CAT,LIGHT/WARM,MALE,NORMAL,STRAY,1,7,123.0,1,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146
CAT,CALICO,FEMALE,NORMAL,STRAY,0,7,122.0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334
DOG,BLACK,MALE,NORMAL,STRAY,1,190,365.0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
DOG,WHITE/PINK,NEUTERED,OTHER,STRAY,1,79,731.0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
