,importance
num__age_at_intake_days,0.31417866860561844
pass__intake_month_cos,0.0796226704701515
pass__intake_month_sin,0.07650509777817947
pass__intake_dayofweek_sin,0.07649509211849474
pass__intake_dayofweek_cos,0.05038468564209518
cat__primary_color_BLACK,0.022431439857965186
cat__intake_condition_NORMAL,0.02016875680838022
pass__has_name,0.0189799444344105
cat__sex_NEUTERED,0.01881860888397217
cat__sex_SPAYED,0.018789029513565245
cat__intake_type_RETURN,0.01868789053587199
cat__primary_color_WHITE/PINK,0.018448382017552986
cat__intake_type_OWNER SURRENDER,0.017840848303176633
cat__primary_color_GRAY/BLUE/SILVER,0.01661002871585077
cat__sex_MALE,0.016231947069250952
cat__animal_type_DOG,0.015045588967812495
cat__intake_type_STRAY,0.014830683603189182
cat__sex_FEMALE,0.01478562970567879
cat__primary_color_TABBY,0.014351745827070763
cat__animal_type_CAT,0.013946739241825662
cat__primary_color_LIGHT/WARM,0.012951769820335544
cat__primary_color_BROWN/TAN,0.012846777195813404
pass__intake_is_weekend,0.010940558277871514
cat__intake_condition_ILL/INJURED MILD,0.008950894598195551
cat__primary_color_POINT,0.008800478898644819
cat__intake_condition_UNDER AGE/WEIGHT,0.007951610366968549
cat__primary_color_MULTI-COLORED,0.0078103436051494175
cat__animal_type_RABBIT,0.007798856386164349
cat__intake_type_SEIZED/CONFISCATE,0.007078281703982867
cat__primary_color_TORTIE,0.0069865568241381645
cat__primary_color_CALICO,0.006103518046261571
cat__animal_type_BIRD,0.0057581498568427085
cat__intake_condition_ILL/INJURED MODERATE,0.005725161125694661
cat__intake_condition_ILL/INJURED SEVERE,0.004746150419569892
cat__primary_color_OTHER,0.004409403973387673
cat__intake_condition_FERAL/FRACTIOUS,0.004071286449560721
cat__intake_condition_OTHER,0.0040398479106518535
cat__sex_UNKNOWN,0.0037421668475306168
cat__intake_condition_BEHAVIOR,0.0030284890708043312
cat__animal_type_GUINEA PIG,0.002379080856127501
cat__intake_type_OTHER,0.0020528535549557115
cat__intake_type_WILDLIFE,0.0018363121033881332
cat__animal_type_OTHER,0.0015078638685723455
cat__intake_type_HOLDING,0.0010144719160425785
cat__animal_type_REPTILE,0.00031563822323263515
